date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
15:27:39	102561/102561	---MCZ	200	added ('OK')	text/html	date:Wed,%2012%20Sep%202018%2014:27:37%20GMT	https://openclassrooms.com/fr/courses/1631636-simplifiez-vos-developpements-javascript-avec-jquery/1636305-premiers-pas-avec-ajax	openclassrooms.com/fr/courses/1631636-simplifiez-vos-developpements-javascript-avec-jquery/1636305-premiers-pas-avec-ajax.html	(from )
15:27:40	211/211	---MCZ	-1	error ('Open%20error%20when%20decompressing%20(can%20not%20create%20temporary%20file%20/tmp0.z)')	text/plain	etag:W/%225b97bf9a-133%22	https://openclassrooms.com/robots.txt		(from )
15:27:41	87354/87354	---MCZ	200	added ('OK')	text/html	date:Wed,%2012%20Sep%202018%2014:27:39%20GMT	https://openclassrooms.com/fr/courses/1631636-simplifiez-vos-developpements-javascript-avec-jquery/1631795-avant-de-commencer	openclassrooms.com/fr/courses/1631636-simplifiez-vos-developpements-javascript-avec-jquery/1631795-avant-de-commencer.html	(from https://openclassrooms.com/fr/courses/1631636-simplifiez-vos-developpements-javascript-avec-jquery/1636305-premiers-pas-avec-ajax)
15:27:42	93157/93157	---MCZ	200	added ('OK')	text/html	date:Wed,%2012%20Sep%202018%2014:27:41%20GMT	https://openclassrooms.com/fr/courses/1631636-simplifiez-vos-developpements-javascript-avec-jquery/1631981-premiers-pas	openclassrooms.com/fr/courses/1631636-simplifiez-vos-developpements-javascript-avec-jquery/1631981-premiers-pas.html	(from https://openclassrooms.com/fr/courses/1631636-simplifiez-vos-developpements-javascript-avec-jquery/1636305-premiers-pas-avec-ajax)
15:27:43	89272/89272	---MCZ	200	added ('OK')	text/html	date:Wed,%2012%20Sep%202018%2014:27:41%20GMT	https://openclassrooms.com/fr/courses/1631636-simplifiez-vos-developpements-javascript-avec-jquery/1632143-selection-delements	openclassrooms.com/fr/courses/1631636-simplifiez-vos-developpements-javascript-avec-jquery/1632143-selection-delements.html	(from https://openclassrooms.com/fr/courses/1631636-simplifiez-vos-developpements-javascript-avec-jquery/1636305-premiers-pas-avec-ajax)
15:27:44	133545/133545	---MCZ	200	added ('OK')	text/html	date:Wed,%2012%20Sep%202018%2014:27:42%20GMT	https://openclassrooms.com/fr/courses/1631636-simplifiez-vos-developpements-javascript-avec-jquery/1632814-plus-loin-dans-la-selection-delements	openclassrooms.com/fr/courses/1631636-simplifiez-vos-developpements-javascript-avec-jquery/1632814-plus-loin-dans-la-selection-delements.html	(from https://openclassrooms.com/fr/courses/1631636-simplifiez-vos-developpements-javascript-avec-jquery/1636305-premiers-pas-avec-ajax)
15:27:45	156915/156915	---MCZ	200	added ('OK')	text/html	date:Wed,%2012%20Sep%202018%2014:27:43%20GMT	https://openclassrooms.com/fr/courses/1631636-simplifiez-vos-developpements-javascript-avec-jquery/1633336-modifier-le-contenu-dun-element	openclassrooms.com/fr/courses/1631636-simplifiez-vos-developpements-javascript-avec-jquery/1633336-modifier-le-contenu-dun-element.html	(from https://openclassrooms.com/fr/courses/1631636-simplifiez-vos-developpements-javascript-avec-jquery/1636305-premiers-pas-avec-ajax)
15:27:46	102486/102486	---MCZ	200	added ('OK')	text/html	date:Wed,%2012%20Sep%202018%2014:27:44%20GMT	https://openclassrooms.com/fr/courses/1631636-simplifiez-vos-developpements-javascript-avec-jquery/1633537-inserer-et-remplacer-des-elements-dans-le-dom	openclassrooms.com/fr/courses/1631636-simplifiez-vos-developpements-javascript-avec-jquery/1633537-inserer-et-remplacer-des-elements-dans-le-dom.html	(from https://openclassrooms.com/fr/courses/1631636-simplifiez-vos-developpements-javascript-avec-jquery/1636305-premiers-pas-avec-ajax)
15:27:47	93065/93065	---MCZ	200	added ('OK')	text/html	date:Wed,%2012%20Sep%202018%2014:27:46%20GMT	https://openclassrooms.com/fr/courses/1631636-simplifiez-vos-developpements-javascript-avec-jquery/1633662-tp-questionnaire-interactif-en-jquery	openclassrooms.com/fr/courses/1631636-simplifiez-vos-developpements-javascript-avec-jquery/1633662-tp-questionnaire-interactif-en-jquery.html	(from https://openclassrooms.com/fr/courses/1631636-simplifiez-vos-developpements-javascript-avec-jquery/1636305-premiers-pas-avec-ajax)
15:27:48	166722/166722	---MCZ	200	added ('OK')	text/html	date:Wed,%2012%20Sep%202018%2014:27:46%20GMT	https://openclassrooms.com/fr/courses/1631636-simplifiez-vos-developpements-javascript-avec-jquery/1634798-les-bases-de-la-gestion-evenementielle	openclassrooms.com/fr/courses/1631636-simplifiez-vos-developpements-javascript-avec-jquery/1634798-les-bases-de-la-gestion-evenementielle.html	(from https://openclassrooms.com/fr/courses/1631636-simplifiez-vos-developpements-javascript-avec-jquery/1636305-premiers-pas-avec-ajax)
